origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,duration_min,origin_temp,origin_wind,dest_temp,dest_wind,avg_temp_along_route,avg_wind_along_route,route_conditions,delay_min
Guntur,Adilabad,16.3067,80.4365,19.6667,78.5333,424.4,509,31.9,2.9,34.8,4.5,32.5,3.4,"['rain', 'sunny', 'sunny', 'clouds', 'sunny', 'rain', 'rain', 'clouds', 'clouds', 'clouds']",24
Anantapur,Nizamabad,14.6819,77.6006,18.6725,78.0941,446.8,536,35.1,2.7,30.9,4.2,34.8,3.3,"['clear', 'storm', 'fog', 'sunny', 'clouds', 'clear', 'clear', 'clouds', 'storm', 'storm']",21
Nellore,Kadapa,14.4426,79.9865,14.4674,78.8241,125.2,150,33.4,3.9,37.5,2.1,35.7,2.7,"['rain', 'fog', 'sunny', 'rain', 'clouds', 'clear', 'storm', 'clear', 'clouds', 'sunny']",6
Khammam,Kadapa,17.2473,80.1514,14.4674,78.8241,340.1,408,39.6,4.5,37.5,4.5,40.5,4.5,"['fog', 'rain', 'rain', 'clouds', 'clouds', 'clear', 'clouds', 'sunny', 'sunny', 'clear']",14
Karimnagar,Tirupati,18.4386,79.1288,13.6288,79.4192,535.7,642,35.4,2.3,39.6,4.2,36.0,2.9,"['clear', 'clouds', 'clouds', 'storm', 'sunny', 'sunny', 'clouds', 'clear', 'sunny', 'clouds']",19
Khammam,Rajahmundry,17.2473,80.1514,17.0005,81.804,177.7,213,32.8,3.8,34.9,4.1,34.3,3.9,"['sunny', 'sunny', 'fog', 'clouds', 'clear', 'sunny', 'sunny', 'sunny', 'fog', 'sunny']",14
Karimnagar,Warangal,18.4386,79.1288,17.9784,79.5941,71.0,85,39.5,3.2,39.1,3.3,37.3,2.9,"['clouds', 'clear', 'clouds', 'clear', 'fog', 'fog', 'fog', 'fog', 'clouds', 'clear']",7
Kurnool,Karimnagar,15.8281,78.0373,18.4386,79.1288,312.6,375,38.5,3.4,34.6,1.4,37.1,2.4,"['clear', 'fog', 'rain', 'sunny', 'clear', 'clouds', 'clear', 'clear', 'sunny', 'rain']",11
Hyderabad,Guntur,17.385,78.4867,16.3067,80.4365,239.7,287,39.4,2.2,32.1,4.3,34.9,3.7,"['rain', 'storm', 'clear', 'sunny', 'clear', 'clear', 'clear', 'clouds', 'sunny', 'sunny']",14
Adilabad,Guntur,19.6667,78.5333,16.3067,80.4365,424.4,509,32.3,4.6,39.1,2.3,35.3,3.1,"['clear', 'clouds', 'fog', 'sunny', 'sunny', 'clouds', 'storm', 'clouds', 'rain', 'rain']",20
Rajahmundry,Karimnagar,17.0005,81.804,18.4386,79.1288,325.4,390,30.3,1.7,34.2,2.8,31.2,2.4,"['sunny', 'fog', 'clear', 'sunny', 'clouds', 'clear', 'clouds', 'rain', 'fog', 'fog']",12
Guntur,Vijayawada,16.3067,80.4365,16.5062,80.648,31.6,37,39.9,4.0,37.9,3.1,40.8,3.9,"['sunny', 'clouds', 'fog', 'fog', 'clouds', 'rain', 'clouds', 'rain', 'sunny', 'clear']",10
Nizamabad,Anantapur,18.6725,78.0941,14.6819,77.6006,446.8,536,38.4,4.8,30.3,1.5,34.1,3.2,"['rain', 'fog', 'fog', 'clouds', 'rain', 'sunny', 'clear', 'clear', 'clear', 'rain']",18
Vijayawada,Anantapur,16.5062,80.648,14.6819,77.6006,384.3,461,31.4,2.9,34.0,2.8,34.4,2.7,"['storm', 'sunny', 'rain', 'storm', 'rain', 'rain', 'clouds', 'clear', 'clear', 'clouds']",15
Vijayawada,Hyderabad,16.5062,80.648,17.385,78.4867,249.8,299,31.2,4.0,30.9,1.9,29.2,3.3,"['clear', 'clear', 'storm', 'clear', 'clouds', 'clear', 'sunny', 'clear', 'clear', 'clouds']",14
Nellore,Nizamabad,14.4426,79.9865,18.6725,78.0941,511.7,614,32.0,3.1,34.4,1.8,31.4,2.3,"['clear', 'fog', 'clear', 'fog', 'rain', 'clear', 'rain', 'storm', 'clear', 'storm']",16
Hyderabad,Tirupati,17.385,78.4867,13.6288,79.4192,429.4,515,34.5,5.0,35.7,1.6,35.0,3.7,"['sunny', 'sunny', 'sunny', 'clouds', 'clouds', 'clear', 'clear', 'clear', 'rain', 'storm']",15
Kurnool,Warangal,15.8281,78.0373,17.9784,79.5941,290.9,349,37.3,4.5,33.7,2.0,36.3,3.3,"['clear', 'clear', 'sunny', 'clouds', 'fog', 'rain', 'sunny', 'clear', 'rain', 'clouds']",21
Tirupati,Kurnool,13.6288,79.4192,15.8281,78.0373,286.2,343,38.6,2.6,35.1,2.1,37.0,2.6,"['clouds', 'rain', 'clouds', 'sunny', 'sunny', 'fog', 'rain', 'clear', 'sunny', 'clouds']",16
Nizamabad,Hyderabad,18.6725,78.0941,17.385,78.4867,149.1,178,34.6,2.7,35.1,2.6,35.5,2.8,"['fog', 'sunny', 'rain', 'clouds', 'clouds', 'clear', 'sunny', 'fog', 'clear', 'rain']",10
Kadapa,Hyderabad,14.4674,78.8241,17.385,78.4867,326.4,391,33.0,3.6,35.3,1.8,33.9,3.2,"['fog', 'rain', 'sunny', 'clear', 'storm', 'clear', 'clouds', 'rain', 'clear', 'clear']",17
Khammam,Karimnagar,17.2473,80.1514,18.4386,79.1288,171.1,205,37.1,2.2,38.1,1.6,37.0,1.6,"['fog', 'fog', 'clouds', 'clear', 'sunny', 'rain', 'fog', 'clouds', 'clouds', 'clouds']",19
Anantapur,Tirupati,14.6819,77.6006,13.6288,79.4192,228.4,274,32.6,4.8,33.4,1.8,31.1,3.0,"['rain', 'clear', 'rain', 'rain', 'rain', 'rain', 'clear', 'sunny', 'rain', 'rain']",10
Vijayawada,Kurnool,16.5062,80.648,15.8281,78.0373,288.8,346,39.3,2.8,39.0,3.4,37.7,3.3,"['clear', 'rain', 'clouds', 'clear', 'clouds', 'sunny', 'clear', 'clouds', 'clouds', 'clear']",22
Guntur,Visakhapatnam,16.3067,80.4365,17.6868,83.2185,333.3,399,38.8,3.2,37.5,2.7,37.7,2.6,"['clear', 'clear', 'sunny', 'sunny', 'rain', 'clear', 'clouds', 'clouds', 'sunny', 'clouds']",15
Warangal,Khammam,17.9784,79.5941,17.2473,80.1514,100.5,120,34.3,1.4,32.3,3.6,34.3,2.5,"['clear', 'clouds', 'sunny', 'clear', 'sunny', 'clouds', 'clouds', 'clear', 'rain', 'fog']",8
Guntur,Nellore,16.3067,80.4365,14.4426,79.9865,212.8,255,35.6,1.1,38.1,2.2,38.1,1.2,"['sunny', 'sunny', 'clear', 'clear', 'clouds', 'sunny', 'clear', 'clear', 'sunny', 'rain']",17
Hyderabad,Warangal,17.385,78.4867,17.9784,79.5941,134.6,161,34.7,4.8,37.1,1.5,34.9,3.6,"['sunny', 'clouds', 'clouds', 'sunny', 'sunny', 'rain', 'clouds', 'storm', 'rain', 'clouds']",10
Khammam,Visakhapatnam,17.2473,80.1514,17.6868,83.2185,329.0,394,39.1,4.4,37.9,1.5,37.1,2.9,"['clear', 'clear', 'storm', 'sunny', 'clouds', 'rain', 'clear', 'clouds', 'sunny', 'clear']",23
Adilabad,Guntur,19.6667,78.5333,16.3067,80.4365,424.4,509,32.3,1.7,39.5,2.1,36.2,2.3,"['sunny', 'rain', 'clear', 'clear', 'fog', 'clouds', 'sunny', 'storm', 'fog', 'clear']",14
Visakhapatnam,Tirupati,17.6868,83.2185,13.6288,79.4192,607.4,728,38.8,4.5,37.8,2.7,39.1,3.8,"['clear', 'clear', 'clouds', 'fog', 'clear', 'clouds', 'sunny', 'clear', 'clouds', 'rain']",18
Nizamabad,Nellore,18.6725,78.0941,14.4426,79.9865,511.7,614,32.9,3.2,35.9,2.5,32.9,2.5,"['clouds', 'rain', 'rain', 'clear', 'rain', 'clouds', 'sunny', 'clear', 'clear', 'clear']",16
Kurnool,Tirupati,15.8281,78.0373,13.6288,79.4192,286.2,343,36.4,3.4,38.1,2.6,36.6,2.7,"['clear', 'sunny', 'sunny', 'clear', 'clear', 'clouds', 'clear', 'sunny', 'clear', 'storm']",21
Karimnagar,Nizamabad,18.4386,79.1288,18.6725,78.0941,112.1,134,36.7,4.2,30.6,1.4,35.2,2.3,"['rain', 'clouds', 'sunny', 'clear', 'storm', 'clear', 'rain', 'rain', 'clouds', 'fog']",6
Guntur,Warangal,16.3067,80.4365,17.9784,79.5941,206.3,247,37.9,2.6,33.1,3.7,37.0,2.9,"['sunny', 'clear', 'rain', 'clouds', 'clear', 'clouds', 'sunny', 'clear', 'clouds', 'rain']",14
Kadapa,Adilabad,14.4674,78.8241,19.6667,78.5333,579.0,694,31.0,3.7,33.4,4.8,33.0,4.6,"['clear', 'clear', 'clouds', 'storm', 'rain', 'rain', 'sunny', 'sunny', 'fog', 'clear']",14
Visakhapatnam,Karimnagar,17.6868,83.2185,18.4386,79.1288,440.3,528,33.5,1.8,35.8,1.7,35.4,2.1,"['clouds', 'sunny', 'clouds', 'clear', 'sunny', 'rain', 'clouds', 'fog', 'rain', 'clouds']",14
Rajahmundry,Warangal,17.0005,81.804,17.9784,79.5941,258.4,310,39.0,2.6,31.5,2.8,35.7,2.3,"['clear', 'clear', 'clouds', 'rain', 'sunny', 'storm', 'clear', 'rain', 'clouds', 'sunny']",14
Khammam,Visakhapatnam,17.2473,80.1514,17.6868,83.2185,329.0,394,38.8,2.9,31.3,2.6,35.8,3.1,"['clear', 'sunny', 'clouds', 'sunny', 'fog', 'storm', 'sunny', 'rain', 'storm', 'clear']",11
Rajahmundry,Guntur,17.0005,81.804,16.3067,80.4365,164.8,197,34.6,2.1,31.8,4.5,35.2,3.7,"['rain', 'clear', 'clear', 'clouds', 'rain', 'rain', 'fog', 'clear', 'clouds', 'sunny']",15
Rajahmundry,Anantapur,17.0005,81.804,14.6819,77.6006,518.3,621,33.7,3.7,35.6,2.2,35.4,2.8,"['clear', 'rain', 'clear', 'clear', 'clouds', 'fog', 'clouds', 'sunny', 'clear', 'clouds']",19
Tirupati,Anantapur,13.6288,79.4192,14.6819,77.6006,228.4,274,39.1,1.1,35.3,3.8,37.4,2.8,"['clear', 'clear', 'clouds', 'storm', 'sunny', 'sunny', 'clouds', 'sunny', 'sunny', 'clear']",20
Vijayawada,Kadapa,16.5062,80.648,14.4674,78.8241,299.3,359,36.3,3.6,34.5,2.0,35.1,3.2,"['clouds', 'sunny', 'rain', 'clouds', 'clouds', 'clear', 'storm', 'rain', 'clouds', 'clear']",11
Guntur,Nizamabad,16.3067,80.4365,18.6725,78.0941,361.8,434,39.6,2.7,32.2,1.2,37.2,2.1,"['clear', 'clear', 'sunny', 'storm', 'fog', 'clear', 'clear', 'sunny', 'clear', 'fog']",9
Rajahmundry,Anantapur,17.0005,81.804,14.6819,77.6006,518.3,621,39.7,2.9,38.1,1.0,40.9,2.4,"['sunny', 'clear', 'clouds', 'clouds', 'sunny', 'clear', 'fog', 'clouds', 'sunny', 'sunny']",17
Karimnagar,Adilabad,18.4386,79.1288,19.6667,78.5333,150.2,180,36.9,3.1,35.3,2.7,34.7,2.9,"['clear', 'clouds', 'clear', 'clouds', 'clouds', 'rain', 'clear', 'sunny', 'rain', 'rain']",14
Adilabad,Guntur,19.6667,78.5333,16.3067,80.4365,424.4,509,39.1,4.8,32.8,3.8,35.2,4.2,"['fog', 'storm', 'rain', 'sunny', 'sunny', 'clear', 'clouds', 'clear', 'clouds', 'storm']",16
Hyderabad,Khammam,17.385,78.4867,17.2473,80.1514,177.4,212,34.9,3.7,35.8,1.4,35.7,2.2,"['sunny', 'fog', 'clear', 'clear', 'sunny', 'rain', 'clouds', 'clear', 'clear', 'fog']",19
Guntur,Karimnagar,16.3067,80.4365,18.4386,79.1288,274.7,329,35.3,4.0,34.3,3.3,35.5,4.0,"['sunny', 'rain', 'clear', 'rain', 'clear', 'sunny', 'rain', 'clear', 'clouds', 'rain']",15
Karimnagar,Tirupati,18.4386,79.1288,13.6288,79.4192,535.7,642,37.5,3.7,36.0,1.8,37.4,2.9,"['fog', 'rain', 'fog', 'fog', 'rain', 'sunny', 'rain', 'clouds', 'clear', 'clear']",12
Tirupati,Khammam,13.6288,79.4192,17.2473,80.1514,409.9,491,37.9,2.5,39.3,1.4,38.3,1.6,"['sunny', 'clouds', 'clear', 'clear', 'rain', 'clouds', 'clear', 'fog', 'clouds', 'rain']",12
Kadapa,Nellore,14.4674,78.8241,14.4426,79.9865,125.2,150,32.9,2.2,36.9,4.6,35.4,3.0,"['rain', 'rain', 'sunny', 'clear', 'rain', 'rain', 'sunny', 'sunny', 'clouds', 'clear']",10
Kurnool,Tirupati,15.8281,78.0373,13.6288,79.4192,286.2,343,40.0,4.8,34.7,2.8,35.9,3.7,"['clear', 'storm', 'clear', 'clouds', 'sunny', 'storm', 'sunny', 'sunny', 'clouds', 'fog']",23
Warangal,Karimnagar,17.9784,79.5941,18.4386,79.1288,71.0,85,31.6,4.9,34.4,4.6,31.9,4.6,"['clouds', 'sunny', 'clear', 'fog', 'clouds', 'clouds', 'clouds', 'storm', 'storm', 'clear']",7
Karimnagar,Anantapur,18.4386,79.1288,14.6819,77.6006,448.3,537,33.9,2.4,33.2,3.2,33.3,2.4,"['rain', 'rain', 'sunny', 'clouds', 'clouds', 'rain', 'clear', 'clear', 'clear', 'clear']",15
Kurnool,Warangal,15.8281,78.0373,17.9784,79.5941,290.9,349,33.6,1.4,32.8,2.0,34.1,1.9,"['clear', 'sunny', 'clouds', 'sunny', 'sunny', 'clear', 'rain', 'sunny', 'sunny', 'clouds']",10
Khammam,Nizamabad,17.2473,80.1514,18.6725,78.0941,269.2,323,32.2,2.3,35.4,2.9,35.0,3.0,"['rain', 'fog', 'sunny', 'clear', 'clear', 'storm', 'clear', 'fog', 'rain', 'fog']",23
Nizamabad,Warangal,18.6725,78.0941,17.9784,79.5941,176.1,211,32.7,3.2,38.6,3.1,34.7,3.3,"['clouds', 'clouds', 'fog', 'clouds', 'sunny', 'rain', 'sunny', 'rain', 'sunny', 'sunny']",16
Adilabad,Anantapur,19.6667,78.5333,14.6819,77.6006,563.1,675,34.1,4.8,33.8,4.0,34.0,4.0,"['clouds', 'clear', 'sunny', 'sunny', 'clouds', 'fog', 'clear', 'rain', 'sunny', 'sunny']",17
Nizamabad,Anantapur,18.6725,78.0941,14.6819,77.6006,446.8,536,37.6,2.8,34.5,1.2,37.0,2.4,"['rain', 'sunny', 'clouds', 'clear', 'sunny', 'sunny', 'rain', 'clouds', 'clear', 'fog']",14
Tirupati,Guntur,13.6288,79.4192,16.3067,80.4365,317.2,380,31.2,1.6,35.9,1.9,33.8,1.5,"['fog', 'clear', 'rain', 'rain', 'clear', 'sunny', 'fog', 'rain', 'sunny', 'clouds']",18
Guntur,Nellore,16.3067,80.4365,14.4426,79.9865,212.8,255,35.9,1.1,37.2,1.3,38.4,0.8,"['clear', 'storm', 'rain', 'rain', 'clear', 'sunny', 'clouds', 'clear', 'clouds', 'clear']",22
Khammam,Visakhapatnam,17.2473,80.1514,17.6868,83.2185,329.0,394,31.2,4.8,30.8,1.4,31.7,3.0,"['clouds', 'clouds', 'fog', 'fog', 'sunny', 'clear', 'clear', 'rain', 'clear', 'clear']",24
Guntur,Anantapur,16.3067,80.4365,14.6819,77.6006,353.5,424,35.6,4.8,33.9,1.4,36.2,3.2,"['clear', 'sunny', 'clouds', 'fog', 'sunny', 'fog', 'rain', 'clouds', 'clear', 'clear']",25
Nellore,Khammam,14.4426,79.9865,17.2473,80.1514,312.4,374,34.7,3.3,39.9,4.6,37.8,4.4,"['clouds', 'rain', 'clouds', 'clear', 'clear', 'clouds', 'clouds', 'rain', 'clouds', 'fog']",11
Kurnool,Vijayawada,15.8281,78.0373,16.5062,80.648,288.8,346,33.4,2.0,35.1,1.0,34.3,1.4,"['clouds', 'fog', 'clouds', 'sunny', 'clear', 'clouds', 'clear', 'clear', 'sunny', 'rain']",16
Kurnool,Visakhapatnam,15.8281,78.0373,17.6868,83.2185,589.1,706,38.5,2.7,32.1,1.5,34.0,2.2,"['clouds', 'sunny', 'fog', 'rain', 'clear', 'clear', 'clouds', 'clouds', 'clear', 'clouds']",20
Kadapa,Guntur,14.4674,78.8241,16.3067,80.4365,267.8,321,33.7,3.6,35.1,2.4,33.5,3.1,"['clear', 'rain', 'clouds', 'clouds', 'fog', 'sunny', 'clear', 'clouds', 'rain', 'sunny']",13
Rajahmundry,Nizamabad,17.0005,81.804,18.6725,78.0941,434.5,521,30.1,2.5,39.2,2.7,34.9,2.3,"['clouds', 'rain', 'clouds', 'rain', 'clouds', 'sunny', 'clouds', 'storm', 'sunny', 'sunny']",16
